TimeStamp(Micosecond),Ax (g),Ay(g),Az (g),Wx (dps), Wy(dps), Wz (dps)
26623606,-1.12,0.24,-0.83,1.02,-1.87,0.55
26624641,-1.03,0.34,-0.98,-0.45,1.48,-1.89
26625609,-0.83,0.49,-0.88,2.05,-0.04,1.22
26626604,-1.42,0.54,-1.27,-2.04,1.48,-0.24
26627612,-1.07,0.64,-1.42,2.36,-0.41,1.41
26628607,-1.27,0.10,-0.10,-0.33,0.14,0.61
26629602,-0.93,0.24,-1.07,2.54,-2.18,1.10
26630610,-1.07,0.73,-1.27,-0.27,-0.29,-2.75
26631604,-1.17,0.10,-0.54,24.70,-11.40,9.22
26632613,-0.98,-19.35,0.10,-14.61,126.73,12.51
26633581,0.54,-46.46,0.78,-210.41,329.49,133.49
26634583,-0.24,-66.10,0.20,-30.66,-109.11,228.46
26635579,-0.78,-41.52,-8.16,260.05,-428.63,339.60
26636579,-7.18,12.46,-8.06,16.89,-73.16,462.46
26637578,-7.87,20.27,4.89,87.50,3.92,411.44
26638579,-3.08,-6.50,2.00,-65.76,193.99,472.54
26639579,2.74,-2.05,-2.74,37.09,9.05,454.04
26640579,-3.27,9.38,-2.78,37.88,99.99,538.45
26641579,-1.91,3.62,0.98,-8.99,119.28,712.22
26642578,-1.91,-1.71,-1.56,-13.27,30.23,567.45
26643579,0.20,7.38,-0.78,24.33,94.26,582.28
26644579,1.07,3.18,0.64,-8.32,128.92,566.84
26645578,-1.07,2.05,-0.83,-4.84,108.72,570.68
26646579,1.22,3.81,-0.78,-11.98,97.37,615.72
26647582,2.30,3.57,-0.64,-6.25,100.73,587.28
26648589,-0.05,2.83,-1.27,-12.72,86.32,612.73
26649578,0.83,2.39,-0.64,-20.65,89.50,544.01
26650579,0.29,0.98,-1.12,-14.73,79.55,552.37
26651579,0.64,0.98,-0.93,-12.84,79.55,474.55
26652582,0.73,1.03,-0.83,-0.69,69.60,464.36
26653595,0.83,1.91,-0.68,-1.06,63.49,434.39
26654579,-0.39,2.30,-0.54,2.05,69.54,436.16
26655579,-0.83,2.20,-0.59,0.22,65.45,418.09
26656579,-0.44,2.15,-0.73,5.11,68.44,403.99
26657579,0.15,2.25,-1.07,11.76,65.87,377.75
26658578,-0.20,2.25,-0.68,9.32,65.14,370.18
26659579,0.20,2.39,-0.44,13.41,53.67,342.96
26660578,0.88,2.78,-0.29,8.95,63.01,340.33
26661579,0.68,2.00,-0.44,11.70,60.38,325.99
26662579,0.73,2.83,-0.49,8.83,54.71,318.91
26663579,0.98,2.93,-0.78,16.09,54.16,309.14
26664579,1.12,2.05,-0.29,19.08,57.02,287.66
26665578,0.83,2.10,-0.29,27.93,51.17,288.03
26666579,1.12,2.74,-0.98,25.55,48.97,274.11
26667578,0.05,3.42,-0.29,36.72,48.78,280.34
26668579,-0.05,2.49,-0.64,34.28,48.66,257.51
26669579,-0.64,3.13,-0.88,36.66,43.72,256.90
26670578,-0.88,3.22,-0.59,33.61,44.45,234.44
26671579,-1.03,3.13,-1.32,32.39,46.95,220.95
26672579,-1.22,3.47,-0.73,31.05,38.35,220.28
26673578,-1.17,3.03,-0.59,28.18,45.98,200.87
26674579,-1.71,3.66,-1.37,28.18,44.94,197.88
26675578,-1.66,3.47,-0.88,21.34,37.00,175.60
26676579,-1.61,3.76,-1.22,26.77,34.14,171.88
26677579,-1.42,3.27,-0.98,21.59,43.41,159.73
26678578,-0.29,3.32,-0.20,22.93,36.88,143.19
26679579,-0.83,3.18,-0.88,11.09,34.38,126.22
26680578,-0.34,2.88,-1.07,14.75,28.70,113.40
26681579,-0.83,3.03,-1.22,17.01,27.12,103.15
26682578,-0.64,2.98,-1.07,21.46,26.51,92.29
26683579,-0.98,3.03,-0.93,18.78,24.80,80.32
26684578,-1.22,3.03,-0.83,20.73,18.39,74.65
26685579,-0.93,2.88,-0.98,16.58,17.29,57.25
26686579,-0.73,2.78,-0.93,17.01,19.79,43.03
26687579,-0.83,2.64,-1.32,17.98,26.51,33.20
26688579,-1.03,3.08,-1.12,14.75,19.92,13.73
26689579,-1.12,2.78,-1.71,17.62,11.19,7.51
26690579,-1.12,2.39,-1.22,11.15,11.19,-10.44
26691578,-0.15,2.83,-0.83,14.08,3.98,-21.85
26692579,-0.73,3.03,-0.59,13.28,3.98,-42.72
26693579,-0.05,2.88,-1.22,17.01,-3.77,-47.36
26694579,-0.29,2.59,-1.37,14.81,-3.95,-56.82
26695578,-0.59,2.30,-0.88,17.80,-5.05,-63.54
26696579,-0.05,2.20,-0.93,15.54,-6.27,-79.77
26697579,0.00,2.49,-1.27,21.04,-9.50,-87.52
26698579,-0.24,2.39,-1.56,16.95,-10.66,-99.73
26699579,-0.34,2.83,-1.47,21.10,-14.51,-104.61
26700579,-0.83,2.30,-1.17,18.72,-15.00,-115.17
26701579,-0.73,2.64,-0.73,22.50,-17.62,-119.99
26702578,-0.78,2.49,-0.73,19.88,-25.01,-133.85
26703675,-0.98,2.78,-1.03,17.50,-20.37,-148.01
26704596,-0.93,2.83,-1.37,22.74,-24.34,-156.49
26705579,-1.03,2.30,-1.61,17.19,-28.18,-164.06
26706583,-1.42,2.15,-1.66,19.69,-32.45,-173.52
26707579,-0.93,2.30,-1.12,14.02,-29.10,-190.37
